UniqueCount	AmbigCount
18	19
37	5
5	1
17	19
22	51
25	49
1	0
13	9
1	11
10	60
44	83
13	31
0	0
9	6
0	0
1	10
12	9
5	7
0	0
3	25
3	0
1	0
30	388
6	22
2	1
2	2
6	5
0	4
1	22
0	0
9	38
2	31
5	5
4	6
15	49
1	34
32	17
0	26
0	41
35	7
11	1
7	22
71	389
11	25
2	7
4	9
3	10
0	0
5	2
30	60
83	81
62	11
181	713
0	0
0	0
54	1
32	2
36	12
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	4
0	0
24	0
0	0
0	5
10	7
3	18
0	0
0	0
0	0
8	131
25	474
16	17
155	91
246	29
2	3
0	0
0	0
0	0
190	436
149	24
0	0
0	0
478	1281
34	1657
0	0
0	0
0	0
0	0
2	1
0	0
0	0
0	0
0	0
0	2
1	1
0	0
3	2
0	0
0	0
34	56
261	76
24	168
50	217
0	0
11	92
22	8
0	0
7	0
21	225
0	0
131	0
0	0
0	0
28	3
0	0
0	0
0	0
8	19
6	0
17	0
2	14
0	0
5	1
0	0
0	0
18	5
0	0
0	0
15	64
0	0
0	0
0	0
0	0
0	0
0	1
8	115
17	29
5	0
37	484
16	0
3912	198
20	36
44	19
1	0
0	0
28	357
56	177
9	0
37	4
8	2
0	0
0	0
0	0
26	79
1	0
21	5
0	0
0	0
0	0
3	0
19	0
0	0
0	0
0	0
0	0
5	22
60	2
4	2
31	4
7	9
0	0
1	0
2	0
1199	325
0	0
1173	1387
0	0
7	7
78	10
0	0
0	0
3	0
1317	37
1505	2
1127	41
0	0
55	0
49	22
18	1
7	2
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
7	0
0	0
20	124
24	12
20	6
306	3
1	0
205	0
67	0
112	13
0	0
32	23
43	26
0	0
0	0
0	0
245	33
0	0
1	1
45	15
0	0
10	0
0	0
0	0
19	42
76	92
399	670
0	0
0	0
16	4
0	0
0	0
0	0
0	0
35	0
0	2
11	0
58	82
18	363
118	54
90	0
55	91
0	0
6	0
0	0
115	91
0	0
22	25
0	0
0	0
1211	804
0	1
0	0
57	56
85	23
0	4
21	91
0	0
12	25
0	0
0	0
556	803
12	2
18	58
45	20
1	4
0	0
2	0
4892	363
169	359
9	0
52	104
1675	132
0	1
8	3
7	54
0	0
1807	1
0	0
0	8
19	7
2	0
0	0
0	0
0	0
9	10
32	25
635	624
4	0
0	0
279	4
41	8
16	0
6	0
3	0
17	119
7	0
10	2
150	69
0	0
49	108
99	3
0	0
1766	46
10	18
0	0
3	5
369	245
12	0
110	32
24	31
82	100
0	0
0	0
2	0
0	0
5	4
13	0
43	110
19	23
2	1
0	0
0	0
0	0
0	1
0	0
3	89
13	10
0	5
8	0
668	102
5	2
0	0
0	0
81	0
0	0
0	0
54	27
247	217
3	0
16	66
2	2
136	317
25	20
2	0
162	162
72	122
2	0
36	120
15	114
93	314
0	0
12	21
0	0
0	0
0	0
0	0
0	0
0	0
2	0
17	70
1	6
0	0
99	78
0	0
53	92
10	8
0	0
0	0
15	65
1	0
0	0
0	0
0	0
5	39
0	0
2	0
0	10
0	0
1	0
0	0
120	32
2	0
1	0
0	0
69	0
0	0
1	1
