gene_id	yzy02_1	yzy01_3
A.satnudSFS1A01G000001.1	0	0
A.satnudSFS1A01G000002.1	0	0
A.satnudSFS1A01G000003.1	9	0
A.satnudSFS1A01G000004.1	0	0
A.satnudSFS1A01G000005.1	347.799	304
A.satnudSFS1A01G000006.1	9	10
A.satnudSFS1A01G000007.1	0	0
A.satnudSFS1A01G000008.1	4	2.494
A.satnudSFS1A01G000009.1	690.635	564.977
A.satnudSFS1A01G000010.1	0	0
A.satnudSFS1A01G000011.1	1	2
A.satnudSFS1A01G000012.1	0	0
A.satnudSFS1A01G000013.1	319.217	247.153
A.satnudSFS1A01G000014.1	248.997	211.6
A.satnudSFS1A01G000015.1	315.768	378.47
A.satnudSFS1A01G000016.1	4	8
A.satnudSFS1A01G000017.1	0	0
A.satnudSFS1A01G000018.1	3	5
A.satnudSFS1A01G000019.1	0	0
A.satnudSFS1A01G000020.1	171.531	185.002
A.satnudSFS1A01G000021.1	2	12
A.satnudSFS1A01G000022.1	0	0
A.satnudSFS1A01G000023.1	1.362	0
A.satnudSFS1A01G000024.1	4	0
A.satnudSFS1A01G000025.1	0	12.761
A.satnudSFS1A01G000026.1	0	0
A.satnudSFS1A01G000027.1	0	0
A.satnudSFS1A01G000028.1	0	0
A.satnudSFS1A01G000030.1	0	0
A.satnudSFS1A01G000031.1	0	0
A.satnudSFS1A01G000032.1	42	0
A.satnudSFS1A01G000033.1	0	0
A.satnudSFS1A01G000034.1	0	0
A.satnudSFS1A01G000035.1	0	0
A.satnudSFS1A01G000036.1	325.826	226.591
A.satnudSFS1A01G000037.1	24	11
A.satnudSFS1A01G000038.1	1	1
A.satnudSFS1A01G000039.1	0	0
A.satnudSFS1A01G000040.1	0	0
A.satnudSFS1A01G000041.1	0	0
A.satnudSFS1A01G000042.1	0	0
A.satnudSFS1A01G000043.1	0	0
A.satnudSFS1A01G000044.1	664.092	485.773
A.satnudSFS1A01G000045.1	0	0
A.satnudSFS1A01G000046.1	0	0
A.satnudSFS1A01G000047.1	0	0
A.satnudSFS1A01G000048.1	0	0
A.satnudSFS1A01G000049.1	4	1.003
A.satnudSFS1A01G000050.1	365.839	200.666
A.satnudSFS1A01G000051.1	13.867	14.209
A.satnudSFS1A01G000052.1	0	0
A.satnudSFS1A01G000053.1	0	0
A.satnudSFS1A01G000054.1	10.875	3.075
A.satnudSFS1A01G000055.1	29.261	17.592
A.satnudSFS1A01G000056.1	36.207	22.694
A.satnudSFS1A01G000057.1	2	9
A.satnudSFS1A01G000058.1	19.086	16.9
A.satnudSFS1A01G000059.1	1	0
A.satnudSFS1A01G000060.1	0	0
A.satnudSFS1A01G000061.1	0	0
A.satnudSFS1A01G000062.1	34.38	14.403
A.satnudSFS1A01G000063.1	192.369	166.07
A.satnudSFS1A01G000064.1	0	0
A.satnudSFS1A01G000065.1	147.048	392.017
A.satnudSFS1A01G000066.1	0	0
A.satnudSFS1A01G000067.1	0	0
A.satnudSFS1A01G000068.1	0	0
A.satnudSFS1A01G000069.1	24.263	29.329
A.satnudSFS1A01G000070.1	17	11
A.satnudSFS1A01G000071.1	34	17
A.satnudSFS1A01G000072.1	2	0
A.satnudSFS1A01G000073.1	2	11
A.satnudSFS1A01G000074.1	1	0
A.satnudSFS1A01G000075.1	0	0
A.satnudSFS1A01G000076.1	54	22
A.satnudSFS1A01G000077.1	119.995	103.377
A.satnudSFS1A01G000078.1	0	0
A.satnudSFS1A01G000079.1	73.488	50
A.satnudSFS1A01G000080.1	0	0
A.satnudSFS1A01G000081.1	18.006	0
A.satnudSFS1A01G000082.1	0	0
A.satnudSFS1A01G000083.1	0	0
A.satnudSFS1A01G000084.1	0	0
A.satnudSFS1A01G000085.1	411.737	403.918
A.satnudSFS1A01G000086.1	0	4
A.satnudSFS1A01G000087.1	14	4
A.satnudSFS1A01G000088.1	82	67
A.satnudSFS1A01G000089.1	1	0
A.satnudSFS1A01G000090.1	0	0
A.satnudSFS1A01G000091.1	982.963	552.377
A.satnudSFS1A01G000092.1	0	0
A.satnudSFS1A01G000093.1	102.02	68
A.satnudSFS1A01G000094.1	18	20
A.satnudSFS1A01G000095.1	6	3
A.satnudSFS1A01G000096.1	156.129	179.357
A.satnudSFS1A01G000097.1	0	0
A.satnudSFS1A01G000098.1	0	1
A.satnudSFS1A01G000099.1	2	2
A.satnudSFS1A01G000100.1	6	9
A.satnudSFS1A01G000101.1	1.277	1.408
A.satnudSFS1A01G000102.1	48	33
A.satnudSFS1A01G000103.1	0	0
A.satnudSFS1A01G000104.1	0	0
A.satnudSFS1A01G000105.1	1	3
A.satnudSFS1A01G000106.1	233.183	184.928
A.satnudSFS1A01G000107.1	241.405	307.591
A.satnudSFS1A01G000108.1	194.745	112.593
A.satnudSFS1A01G000109.1	3	4
A.satnudSFS1A01G000110.1	4	0
A.satnudSFS1A01G000111.1	0	1
A.satnudSFS1A01G000112.1	0	0
A.satnudSFS1A01G000113.1	0	0
A.satnudSFS1A01G000114.1	0	0
A.satnudSFS1A01G000115.1	0	0
A.satnudSFS1A01G000116.1	2	0
A.satnudSFS1A01G000117.1	0	0
A.satnudSFS1A01G000118.1	0	0
A.satnudSFS1A01G000119.1	507.987	378.88
A.satnudSFS1A01G000120.1	0	0
A.satnudSFS1A01G000121.1	0	0
A.satnudSFS1A01G000122.1	0	0
A.satnudSFS1A01G000123.1	0	0
A.satnudSFS1A01G000124.1	0	0
A.satnudSFS1A01G000125.1	0	0
A.satnudSFS1A01G000126.1	0	0
A.satnudSFS1A01G000127.1	0	0
A.satnudSFS1A01G000128.1	0	0
