gene_id	CRR812470_output	CRR812471_output
HORVU.MOREX.r2.1HG0000010.1	0	0
HORVU.MOREX.r2.1HG0000020.1	170.40456539398866	386.5085025724343
HORVU.MOREX.r2.1HG0000030.1	0	0
HORVU.MOREX.r2.1HG0000040.1	55.68928774928774	99.14933048433049
HORVU.MOREX.r2.1HG0000050.1	687.9663617886179	1262.3234451219514
HORVU.MOREX.r2.1HG0000060.1	379.40734108527136	735.2181912144704
HORVU.MOREX.r2.1HG0000070.1	903.4754882326622	1490.1997694854585
HORVU.MOREX.r2.1HG0000080.1	641.0509992833333	1023.3181368421052
HORVU.MOREX.r2.1HG0000090.1	238.42972281449892	482.86278606965175
HORVU.MOREX.r2.1HG0000100.1	36.98949523809524	95.62361904761903
HORVU.MOREX.r2.1HG0000110.1	110.7573877068558	167.64528368794328
HORVU.MOREX.r2.1HG0000120.1	432.9807644110275	804.9713157894737
HORVU.MOREX.r2.1HG0000130.1	0	0
HORVU.MOREX.r2.1HG0000140.1	0	0
HORVU.MOREX.r2.1HG0000150.1	0	0
HORVU.MOREX.r2.1HG0000160.1	0	0
HORVU.MOREX.r2.1HG0000170.1	0	0
HORVU.MOREX.r2.1HG0000180.1	0	0
HORVU.MOREX.r2.1HG0000190.1	0	0
HORVU.MOREX.r2.1HG0000200.1	3.350753512132822	5.866679438058749
HORVU.MOREX.r2.1HG0000210.1	0	0
HORVU.MOREX.r2.1HG0000220.1	0	0
HORVU.MOREX.r2.1HG0000230.1	0	0
HORVU.MOREX.r2.1HG0000240.1	0	0
HORVU.MOREX.r2.1HG0000250.1	0	0
HORVU.MOREX.r2.1HG0000260.1	0	0
HORVU.MOREX.r2.1HG0000270.1	0	0
HORVU.MOREX.r2.1HG0000280.1	185.4054954954955	319.3640790790791
HORVU.MOREX.r2.1HG0000290.1	0	0
HORVU.MOREX.r2.1HG0000300.1	0	0
HORVU.MOREX.r2.1HG0000310.1	4.7168226381461675	4.717535650623886
HORVU.MOREX.r2.1HG0000320.1	3.763167947822036	23.523526671325413
HORVU.MOREX.r2.1HG0000330.1	0	0.5459605734767026
HORVU.MOREX.r2.1HG0000340.1	0	0
HORVU.MOREX.r2.1HG0000350.1	0	0
HORVU.MOREX.r2.1HG0000360.1	0	0
HORVU.MOREX.r2.1HG0000370.1	0	0
HORVU.MOREX.r2.1HG0000380.1	0	0
HORVU.MOREX.r2.1HG0000390.1	0	0
HORVU.MOREX.r2.1HG0000400.1	0	0
HORVU.MOREX.r2.1HG0000410.1	0	0
HORVU.MOREX.r2.1HG0000420.1	0	0
HORVU.MOREX.r2.1HG0000430.1	0	0
HORVU.MOREX.r2.1HG0000440.1	0	0.37650285714285714
HORVU.MOREX.r2.1HG0000450.1	0	0
HORVU.MOREX.r2.1HG0000460.1	0	0
HORVU.MOREX.r2.1HG0000470.1	391.0365286885246	685.7106639344263
HORVU.MOREX.r2.1HG0000480.1	0	0
HORVU.MOREX.r2.1HG0000490.1	4.595450064282674	7.429659050915282
HORVU.MOREX.r2.1HG0000500.1	0	0
HORVU.MOREX.r2.1HG0000510.1	0	0
HORVU.MOREX.r2.1HG0000520.1	0	0
HORVU.MOREX.r2.1HG0000530.1	0	0
HORVU.MOREX.r2.1HG0000540.1	0	0
HORVU.MOREX.r2.1HG0000550.1	0	0
HORVU.MOREX.r2.1HG0000560.1	0	0
HORVU.MOREX.r2.1HG0000570.1	0	0
HORVU.MOREX.r2.1HG0000580.1	4.387704845814978	50.22096916299559
HORVU.MOREX.r2.1HG0000590.1	1.8534140715109573	15.757156862745099
HORVU.MOREX.r2.1HG0000600.1	0	0
HORVU.MOREX.r2.1HG0000610.1	0	0
HORVU.MOREX.r2.1HG0000620.1	0	0
HORVU.MOREX.r2.1HG0000630.1	0	0
HORVU.MOREX.r2.1HG0000640.1	0	0
HORVU.MOREX.r2.1HG0000650.1	0	0
HORVU.MOREX.r2.1HG0000660.1	2.8924488017429195	4.342882352941177
HORVU.MOREX.r2.1HG0000670.1	85.9737982905983	121.86347008547008
HORVU.MOREX.r2.1HG0000680.1	0	0
HORVU.MOREX.r2.1HG0000690.1	0	0.4973820512820513
HORVU.MOREX.r2.1HG0000700.1	1099.8514720194646	1443.7440510948907
HORVU.MOREX.r2.1HG0000710.1	0	0
HORVU.MOREX.r2.1HG0000720.1	4020.0017365523086	5602.041067344345
HORVU.MOREX.r2.1HG0000730.1	365.8860362318841	1006.2165507246376
HORVU.MOREX.r2.1HG0000740.1	124.73927896995707	242.82290987124463
HORVU.MOREX.r2.1HG0000750.1	0	0
HORVU.MOREX.r2.1HG0000760.1	1.4020575757575757	3.094818181818182
HORVU.MOREX.r2.1HG0000770.1	0	0
HORVU.MOREX.r2.1HG0000780.1	0	0.5124182389937108
HORVU.MOREX.r2.1HG0000790.1	0	0
HORVU.MOREX.r2.1HG0000800.1	0	0
HORVU.MOREX.r2.1HG0000810.1	0	0
HORVU.MOREX.r2.1HG0000820.1	0	0
HORVU.MOREX.r2.1HG0000830.1	0	0
HORVU.MOREX.r2.1HG0000840.1	0	0
HORVU.MOREX.r2.1HG0000850.1	0	0
HORVU.MOREX.r2.1HG0000860.1	0	0
HORVU.MOREX.r2.1HG0000870.1	4.067384030418251	12.8952927756654
HORVU.MOREX.r2.1HG0000880.1	28.596119468899523	42.2962966507177
HORVU.MOREX.r2.1HG0000890.1	13.148742424242425	5.418205882352941
HORVU.MOREX.r2.1HG0000900.1	189.73784537102475	273.312390795053
HORVU.MOREX.r2.1HG0000910.1	13.922197860962568	1.548058823529412
HORVU.MOREX.r2.1HG0000920.1	0	0
HORVU.MOREX.r2.1HG0000930.1	18.383177181818183	0
HORVU.MOREX.r2.1HG0000940.1	0	1.6631574074074076
HORVU.MOREX.r2.1HG0000950.1	0	2.913016077170418
HORVU.MOREX.r2.1HG0000960.1	167.47873805309735	358.8610958702065
HORVU.MOREX.r2.1HG0000970.1	2.628934306569343	9.642851581508516
HORVU.MOREX.r2.1HG0000980.1	17.47762889659091	16.622878202651513
HORVU.MOREX.r2.1HG0000990.1	0	0.27415329768270946
HORVU.MOREX.r2.1HG0001000.1	0	0
HORVU.MOREX.r2.1HG0001010.1	0	0
HORVU.MOREX.r2.1HG0001020.1	407.7641092896175	647.8363169398908
HORVU.MOREX.r2.1HG0001030.1	325.3487145969499	731.0240813362383
HORVU.MOREX.r2.1HG0001040.1	0	1.0126471734892788
HORVU.MOREX.r2.1HG0001050.1	0	2.2476587537091985
HORVU.MOREX.r2.1HG0001060.1	0	0.5554228070175439
