gene_id	CRR812470_output	CRR812471_output
HORVU.MOREX.r2.1HG0000010.1	0	0
HORVU.MOREX.r2.1HG0000020.1	7.890171608509362	11.515429295322576
HORVU.MOREX.r2.1HG0000030.1	0	0
HORVU.MOREX.r2.1HG0000040.1	6.782488816807501	7.7700366401076755
HORVU.MOREX.r2.1HG0000050.1	59.77597113522668	70.57419660147524
HORVU.MOREX.r2.1HG0000060.1	167.64063431258282	209.0285787559043
HORVU.MOREX.r2.1HG0000070.1	69.12312717536258	73.36135648207042
HORVU.MOREX.r2.1HG0000080.1	96.1550860603115	98.76571423097361
HORVU.MOREX.r2.1HG0000090.1	28.976826950527794	37.75982971182471
HORVU.MOREX.r2.1HG0000100.1	10.039738155672051	16.700328559920596
HORVU.MOREX.r2.1HG0000110.1	44.773069308314405	43.606513165465046
HORVU.MOREX.r2.1HG0000120.1	46.389559278374776	55.49423982146167
HORVU.MOREX.r2.1HG0000130.1	0	0
HORVU.MOREX.r2.1HG0000140.1	0	0
HORVU.MOREX.r2.1HG0000150.1	0	0
HORVU.MOREX.r2.1HG0000160.1	0	0
HORVU.MOREX.r2.1HG0000170.1	0	0
HORVU.MOREX.r2.1HG0000180.1	0	0
HORVU.MOREX.r2.1HG0000190.1	0	0
HORVU.MOREX.r2.1HG0000200.1	0.36587712219298196	0.41219335804476076
HORVU.MOREX.r2.1HG0000210.1	0	0
HORVU.MOREX.r2.1HG0000220.1	0	0
HORVU.MOREX.r2.1HG0000230.1	0	0
HORVU.MOREX.r2.1HG0000240.1	0	0
HORVU.MOREX.r2.1HG0000250.1	0	0
HORVU.MOREX.r2.1HG0000260.1	0	0
HORVU.MOREX.r2.1HG0000270.1	0	0
HORVU.MOREX.r2.1HG0000280.1	7.933807408223241	8.793483959768599
HORVU.MOREX.r2.1HG0000290.1	0	0
HORVU.MOREX.r2.1HG0000300.1	0	0
HORVU.MOREX.r2.1HG0000310.1	0.17971371780983061	0.11565455214139399
HORVU.MOREX.r2.1HG0000320.1	0.14989158199858524	0.6028953472650977
HORVU.MOREX.r2.1HG0000330.1	0	0.10765333067228293
HORVU.MOREX.r2.1HG0000340.1	0	0
HORVU.MOREX.r2.1HG0000350.1	0	0
HORVU.MOREX.r2.1HG0000360.1	0	0
HORVU.MOREX.r2.1HG0000370.1	0	0
HORVU.MOREX.r2.1HG0000380.1	0	0
HORVU.MOREX.r2.1HG0000390.1	0	0
HORVU.MOREX.r2.1HG0000400.1	0	0
HORVU.MOREX.r2.1HG0000410.1	0	0
HORVU.MOREX.r2.1HG0000420.1	0	0
HORVU.MOREX.r2.1HG0000430.1	0	0
HORVU.MOREX.r2.1HG0000440.1	0	0.19726469717392864
HORVU.MOREX.r2.1HG0000450.1	0	0
HORVU.MOREX.r2.1HG0000460.1	0	0
HORVU.MOREX.r2.1HG0000470.1	91.34626166355135	103.06950992450348
HORVU.MOREX.r2.1HG0000480.1	0	0
HORVU.MOREX.r2.1HG0000490.1	0.33452575937784074	0.34800561892614895
HORVU.MOREX.r2.1HG0000500.1	0	0
