gene_id	CRR812470_output	CRR812471_output
HORVU.MOREX.r2.1HG0000010.1	0	0
HORVU.MOREX.r2.1HG0000020.1	1.49331	2.70215
HORVU.MOREX.r2.1HG0000030.1	0	0
HORVU.MOREX.r2.1HG0000040.1	1.65955	2.35541
HORVU.MOREX.r2.1HG0000050.1	12.9352	18.9275
HORVU.MOREX.r2.1HG0000060.1	221.678	340.526
HORVU.MOREX.r2.1HG0000070.1	14.4415	18.9979
HORVU.MOREX.r2.1HG0000080.1	26.1348	33.2467
HORVU.MOREX.r2.1HG0000090.1	7.0834	11.4358
HORVU.MOREX.r2.1HG0000100.1	4.62886	9.51671
HORVU.MOREX.r2.1HG0000110.1	45.2961	54.3898
HORVU.MOREX.r2.1HG0000120.1	10.7702	15.9648
HORVU.MOREX.r2.1HG0000130.1	0	0
HORVU.MOREX.r2.1HG0000140.1	0	0
HORVU.MOREX.r2.1HG0000150.1	0	0
HORVU.MOREX.r2.1HG0000160.1	0	0
HORVU.MOREX.r2.1HG0000170.1	0	0
HORVU.MOREX.r2.1HG0000180.1	0	0
HORVU.MOREX.r2.1HG0000190.1	0	0
HORVU.MOREX.r2.1HG0000200.1	0.085565	0.119444
HORVU.MOREX.r2.1HG0000210.1	0	0
HORVU.MOREX.r2.1HG0000220.1	0	0
HORVU.MOREX.r2.1HG0000230.1	0	0
HORVU.MOREX.r2.1HG0000240.1	0	0
HORVU.MOREX.r2.1HG0000250.1	0	0
HORVU.MOREX.r2.1HG0000260.1	0	0
HORVU.MOREX.r2.1HG0000270.1	0	0
HORVU.MOREX.r2.1HG0000280.1	1.48488	2.04056
HORVU.MOREX.r2.1HG0000290.1	0	0
HORVU.MOREX.r2.1HG0000300.1	0	0
HORVU.MOREX.r2.1HG0000310.1	0.0331396	0.0264438
HORVU.MOREX.r2.1HG0000320.1	0.0277917	0.138602
HORVU.MOREX.r2.1HG0000330.1	0	0.0735118
HORVU.MOREX.r2.1HG0000340.1	0	0
HORVU.MOREX.r2.1HG0000350.1	0	0
HORVU.MOREX.r2.1HG0000360.1	0	0
HORVU.MOREX.r2.1HG0000370.1	0	0
HORVU.MOREX.r2.1HG0000380.1	0	0
HORVU.MOREX.r2.1HG0000390.1	0	0
HORVU.MOREX.r2.1HG0000400.1	0	0
HORVU.MOREX.r2.1HG0000410.1	0	0
HORVU.MOREX.r2.1HG0000420.1	0	0
HORVU.MOREX.r2.1HG0000430.1	0	0
HORVU.MOREX.r2.1HG0000440.1	0	1.13299
HORVU.MOREX.r2.1HG0000450.1	0	0
HORVU.MOREX.r2.1HG0000460.1	0	0
HORVU.MOREX.r2.1HG0000470.1	35.175	49.0966
HORVU.MOREX.r2.1HG0000480.1	0	0
HORVU.MOREX.r2.1HG0000490.1	0.0690283	0.0890113
HORVU.MOREX.r2.1HG0000500.1	0	0
HORVU.MOREX.r2.1HG0000510.1	0	0
HORVU.MOREX.r2.1HG0000520.1	0	0
HORVU.MOREX.r2.1HG0000530.1	0	0
HORVU.MOREX.r2.1HG0000540.1	0	0
HORVU.MOREX.r2.1HG0000550.1	0	0
HORVU.MOREX.r2.1HG0000560.1	0	0
HORVU.MOREX.r2.1HG0000570.1	0	0
HORVU.MOREX.r2.1HG0000580.1	0.460173	4.19083
HORVU.MOREX.r2.1HG0000590.1	0.017463	0.118439
HORVU.MOREX.r2.1HG0000600.1	0	0
HORVU.MOREX.r2.1HG0000610.1	0	0
HORVU.MOREX.r2.1HG0000620.1	0	0
HORVU.MOREX.r2.1HG0000630.1	0	0
HORVU.MOREX.r2.1HG0000640.1	0	0
HORVU.MOREX.r2.1HG0000650.1	0	0
HORVU.MOREX.r2.1HG0000660.1	0.169091	0.202225
HORVU.MOREX.r2.1HG0000670.1	12.8907	14.5211
HORVU.MOREX.r2.1HG0000680.1	0	0
HORVU.MOREX.r2.1HG0000690.1	0	0.577255
HORVU.MOREX.r2.1HG0000700.1	26.2681	27.4933
HORVU.MOREX.r2.1HG0000710.1	0	0
HORVU.MOREX.r2.1HG0000720.1	60.0036	66.6923
HORVU.MOREX.r2.1HG0000730.1	4.513	9.89991
HORVU.MOREX.r2.1HG0000740.1	12.3635	19.153
HORVU.MOREX.r2.1HG0000750.1	0	0
HORVU.MOREX.r2.1HG0000760.1	3.7148	6.16731
HORVU.MOREX.r2.1HG0000770.1	0	0
HORVU.MOREX.r2.1HG0000780.1	0	0.549744
HORVU.MOREX.r2.1HG0000790.1	0	0
HORVU.MOREX.r2.1HG0000800.1	0	0
HORVU.MOREX.r2.1HG0000810.1	0	0
HORVU.MOREX.r2.1HG0000820.1	0	0
HORVU.MOREX.r2.1HG0000830.1	0	0
HORVU.MOREX.r2.1HG0000840.1	0	0
HORVU.MOREX.r2.1HG0000850.1	0	0
HORVU.MOREX.r2.1HG0000860.1	0	0
HORVU.MOREX.r2.1HG0000870.1	0.314789	0.794606
HORVU.MOREX.r2.1HG0000880.1	3.61901	4.25696
HORVU.MOREX.r2.1HG0000890.1	0.549705	0.18051
HORVU.MOREX.r2.1HG0000900.1	12.7753	14.6559
HORVU.MOREX.r2.1HG0000910.1	0.582041	0.0515742
HORVU.MOREX.r2.1HG0000920.1	0	0
HORVU.MOREX.r2.1HG0000930.1	2.32651	0
HORVU.MOREX.r2.1HG0000940.1	0	0.49872
HORVU.MOREX.r2.1HG0000950.1	0	0.13184
HORVU.MOREX.r2.1HG0000960.1	174.39	294.583
HORVU.MOREX.r2.1HG0000970.1	0.0467478	0.136748
HORVU.MOREX.r2.1HG0000980.1	3.44857	2.60472
HORVU.MOREX.r2.1HG0000990.1	0	0.0364029
HORVU.MOREX.r2.1HG0001000.1	0	0
HORVU.MOREX.r2.1HG0001010.1	0	0
HORVU.MOREX.r2.1HG0001020.1	72.2124	91.1268
HORVU.MOREX.r2.1HG0001030.1	9.97179	17.8609
HORVU.MOREX.r2.1HG0001040.1	0	0.17244
HORVU.MOREX.r2.1HG0001050.1	0	0.0886979
HORVU.MOREX.r2.1HG0001060.1	0	0.0707382
HORVU.MOREX.r2.1HG0001070.1	0	0.0158666
HORVU.MOREX.r2.1HG0001080.1	9.986	5.3913
HORVU.MOREX.r2.1HG0001090.1	0	0
HORVU.MOREX.r2.1HG0001100.1	0	0
HORVU.MOREX.r2.1HG0001110.1	0	0
HORVU.MOREX.r2.1HG0001120.1	0	0
HORVU.MOREX.r2.1HG0001130.1	0	0
HORVU.MOREX.r2.1HG0001140.1	0	0
HORVU.MOREX.r2.1HG0001150.1	0	0
HORVU.MOREX.r2.1HG0001160.1	0	0
HORVU.MOREX.r2.1HG0001170.1	0.372017	0
HORVU.MOREX.r2.1HG0001180.1	0	0
HORVU.MOREX.r2.1HG0001190.1	0	0
HORVU.MOREX.r2.1HG0001200.1	0	0
HORVU.MOREX.r2.1HG0001210.1	0	0
HORVU.MOREX.r2.1HG0001220.1	0	0
HORVU.MOREX.r2.1HG0001230.1	0	0
HORVU.MOREX.r2.1HG0001240.1	0	0
HORVU.MOREX.r2.1HG0001250.1	0	0.925699
HORVU.MOREX.r2.1HG0001260.1	0	0
HORVU.MOREX.r2.1HG0001270.1	0	0
HORVU.MOREX.r2.1HG0001280.1	0	0
HORVU.MOREX.r2.1HG0001290.1	0	0
HORVU.MOREX.r2.1HG0001300.1	0	0
HORVU.MOREX.r2.1HG0001310.1	0	0
HORVU.MOREX.r2.1HG0001320.1	0	0
HORVU.MOREX.r2.1HG0001330.1	0	0
HORVU.MOREX.r2.1HG0001340.1	0	0
HORVU.MOREX.r2.1HG0001350.1	0	0
HORVU.MOREX.r2.1HG0001360.1	0	0
HORVU.MOREX.r2.1HG0001370.1	0	0
HORVU.MOREX.r2.1HG0001380.1	0	0
HORVU.MOREX.r2.1HG0001390.1	0	0
HORVU.MOREX.r2.1HG0001400.1	0	0
HORVU.MOREX.r2.1HG0001410.1	0	0
HORVU.MOREX.r2.1HG0001420.1	0	0
HORVU.MOREX.r2.1HG0001430.1	0	0
HORVU.MOREX.r2.1HG0001440.1	0	0
HORVU.MOREX.r2.1HG0001450.1	0	0
HORVU.MOREX.r2.1HG0001460.1	0.0789856	0
HORVU.MOREX.r2.1HG0001470.1	0	0
HORVU.MOREX.r2.1HG0001480.1	0	0
HORVU.MOREX.r2.1HG0001490.1	0.706617	0
HORVU.MOREX.r2.1HG0001500.1	0	0.0262403
HORVU.MOREX.r2.1HG0001510.1	0	0
HORVU.MOREX.r2.1HG0001520.1	0	0
HORVU.MOREX.r2.1HG0001530.1	1.24979	1.87648
HORVU.MOREX.r2.1HG0001540.1	49.8512	84.8024
HORVU.MOREX.r2.1HG0001550.1	31.9033	48.9791
HORVU.MOREX.r2.1HG0001560.1	0.202434	0.220213
HORVU.MOREX.r2.1HG0001570.1	0	6.79792
HORVU.MOREX.r2.1HG0001580.1	0	0
HORVU.MOREX.r2.1HG0001590.1	0	0
HORVU.MOREX.r2.1HG0001600.1	0	0
HORVU.MOREX.r2.1HG0001610.1	0	0
HORVU.MOREX.r2.1HG0001620.1	0	0
HORVU.MOREX.r2.1HG0001630.1	0	0
HORVU.MOREX.r2.1HG0001640.1	6.00731	16.3945
HORVU.MOREX.r2.1HG0001650.1	0	0
HORVU.MOREX.r2.1HG0001660.1	0	0
HORVU.MOREX.r2.1HG0001670.1	0	0
HORVU.MOREX.r2.1HG0001680.1	0	0
HORVU.MOREX.r2.1HG0001690.1	2.21213	3.04347
HORVU.MOREX.r2.1HG0001700.1	35.0184	25.8565
HORVU.MOREX.r2.1HG0001710.1	100.683	110.33
HORVU.MOREX.r2.1HG0001720.1	33.1589	38.2553
HORVU.MOREX.r2.1HG0001730.1	0.623304	0.53456
HORVU.MOREX.r2.1HG0001740.1	0	0
HORVU.MOREX.r2.1HG0001750.1	0	0
HORVU.MOREX.r2.1HG0001760.1	0	0
HORVU.MOREX.r2.1HG0001770.1	0	0.23437
HORVU.MOREX.r2.1HG0001780.1	0	0.0971642
HORVU.MOREX.r2.1HG0001790.1	0	0
HORVU.MOREX.r2.1HG0001800.1	0	0
HORVU.MOREX.r2.1HG0001810.1	0	0
HORVU.MOREX.r2.1HG0001820.1	0	0
HORVU.MOREX.r2.1HG0001830.1	0	0
HORVU.MOREX.r2.1HG0001840.1	0	0
HORVU.MOREX.r2.1HG0001850.1	0	0
HORVU.MOREX.r2.1HG0001860.1	0	0
HORVU.MOREX.r2.1HG0001870.1	1.33427	3.40316
