target_id	length	eff_length	est_counts	tpm
HORVU.MOREX.r2.1HG0000010.1	402	150.831	0	0
HORVU.MOREX.r2.1HG0000020.1	3693	3439.46	415	2.70215
HORVU.MOREX.r2.1HG0000030.1	1620	1366.46	0	0
HORVU.MOREX.r2.1HG0000040.1	1404	1150.46	121	2.35541
HORVU.MOREX.r2.1HG0000050.1	1968	1714.46	1449	18.9275
HORVU.MOREX.r2.1HG0000060.1	387	136.793	2080	340.526
HORVU.MOREX.r2.1HG0000070.1	2235	1981.46	1680.88	18.9979
HORVU.MOREX.r2.1HG0000080.1	1140	886.461	1316	33.2467
HORVU.MOREX.r2.1HG0000090.1	1407	1153.46	589	11.4358
HORVU.MOREX.r2.1HG0000100.1	630	376.518	160	9.51671
HORVU.MOREX.r2.1HG0000110.1	423	170.877	415	54.3898
HORVU.MOREX.r2.1HG0000120.1	1596	1342.46	957	15.9648
HORVU.MOREX.r2.1HG0000130.1	888	634.461	0	0
HORVU.MOREX.r2.1HG0000140.1	756	502.494	0	0
HORVU.MOREX.r2.1HG0000150.1	1161	907.461	0	0
HORVU.MOREX.r2.1HG0000160.1	354	107.93	0	0
HORVU.MOREX.r2.1HG0000170.1	1365	1111.46	0	0
HORVU.MOREX.r2.1HG0000180.1	1455	1201.46	0	0
HORVU.MOREX.r2.1HG0000190.1	1272	1018.46	0	0
HORVU.MOREX.r2.1HG0000200.1	1566	1312.46	7	0.119444
HORVU.MOREX.r2.1HG0000210.1	276	59.0513	0	0
HORVU.MOREX.r2.1HG0000220.1	441	188.429	0	0
HORVU.MOREX.r2.1HG0000230.1	3489	3235.46	0	0
HORVU.MOREX.r2.1HG0000240.1	2973	2719.46	0	0
HORVU.MOREX.r2.1HG0000250.1	240	47.2516	0	0
HORVU.MOREX.r2.1HG0000260.1	3444	3190.46	0	0
HORVU.MOREX.r2.1HG0000270.1	3615	3361.46	0	0
HORVU.MOREX.r2.1HG0000280.1	3996	3742.46	341	2.04056
HORVU.MOREX.r2.1HG0000290.1	4446	4192.46	0	0
HORVU.MOREX.r2.1HG0000300.1	4146	3892.46	0	0
HORVU.MOREX.r2.1HG0000310.1	4488	4234.46	5	0.0264438
HORVU.MOREX.r2.1HG0000320.1	4293	4039.46	25	0.138602
HORVU.MOREX.r2.1HG0000330.1	558	304.646	1	0.0735118
HORVU.MOREX.r2.1HG0000340.1	1260	1006.46	0	0
HORVU.MOREX.r2.1HG0000350.1	1038	784.461	0	0
HORVU.MOREX.r2.1HG0000360.1	387	136.793	0	0
HORVU.MOREX.r2.1HG0000370.1	897	643.461	0	0
HORVU.MOREX.r2.1HG0000380.1	1062	808.461	0	0
HORVU.MOREX.r2.1HG0000390.1	3225	2971.46	0	0
HORVU.MOREX.r2.1HG0000400.1	210	39.5328	0	0
HORVU.MOREX.r2.1HG0000410.1	420	168.004	0	0
HORVU.MOREX.r2.1HG0000420.1	435	182.55	0	0
HORVU.MOREX.r2.1HG0000430.1	303	72.1709	0	0
HORVU.MOREX.r2.1HG0000440.1	210	39.5328	2	1.13299
HORVU.MOREX.r2.1HG0000450.1	219	42.0496	0	0
HORVU.MOREX.r2.1HG0000460.1	735	481.494	0	0
